"Type-Algorithm","Time","Comparisons","Assignments","Array-Size"
"Shell-sort","7000","0","0","1"
"Merge-sort","5000","0","0","1"
"Cocktail-sort","5000","0","0","1"
"Shell-sort","7000","2","3","2"
"Merge-sort","30000","1","4","2"
"Cocktail-sort","9000","2","2","2"
"Shell-sort","11000","5","7","3"
"Merge-sort","14000","2","10","3"
"Cocktail-sort","9000","4","7","3"
"Shell-sort","9000","7","10","4"
"Merge-sort","15000","2","16","4"
"Cocktail-sort","9000","8","9","4"
"Shell-sort","8000","9","13","5"
"Merge-sort","31000","2","24","5"
"Cocktail-sort","9000","12","12","5"
"Shell-sort","9000","11","16","6"
"Merge-sort","18000","3","32","6"
"Cocktail-sort","10000","16","14","6"
"Shell-sort","11000","21","27","7"
"Merge-sort","21000","6","40","7"
"Cocktail-sort","12000","24","37","7"
"Shell-sort","10000","24","31","8"
"Merge-sort","22000","7","48","8"
"Cocktail-sort","13000","30","40","8"
"Shell-sort","10000","25","33","9"
"Merge-sort","26000","10","58","9"
"Cocktail-sort","12000","32","39","9"
"Shell-sort","34000","31","46","10"
"Merge-sort","33000","11","68","10"
"Cocktail-sort","12000","32","41","10"
"Shell-sort","13000","35","52","11"
"Merge-sort","31000","10","78","11"
"Cocktail-sort","16000","52","64","11"
"Shell-sort","15000","47","66","12"
"Merge-sort","36000","13","88","12"
"Cocktail-sort","19000","64","96","12"
"Shell-sort","15000","44","65","13"
"Merge-sort","37000","17","98","13"
"Cocktail-sort","20000","76","103","13"
"Shell-sort","15000","48","71","14"
"Merge-sort","38000","19","108","14"
"Cocktail-sort","21000","85","110","14"
"Shell-sort","17000","56","81","15"
"Merge-sort","41000","21","118","15"
"Cocktail-sort","24000","94","148","15"
"Shell-sort","17000","62","89","16"
"Merge-sort","86000","26","128","16"
"Cocktail-sort","21000","78","128","16"
"Shell-sort","16000","54","83","17"
"Merge-sort","65000","21","140","17"
"Cocktail-sort","21000","94","134","17"
"Shell-sort","18000","63","94","18"
"Merge-sort","50000","32","152","18"
"Cocktail-sort","28000","130","194","18"
"Shell-sort","19000","87","120","19"
"Merge-sort","63000","32","164","19"
"Cocktail-sort","38000","156","252","19"
"Shell-sort","19000","81","116","20"
"Merge-sort","55000","31","176","20"
"Cocktail-sort","87000","187","258","20"
"Shell-sort","28000","89","126","21"
"Merge-sort","59000","32","188","21"
"Cocktail-sort","38000","188","266","21"
"Shell-sort","21000","92","131","22"
"Merge-sort","64000","34","200","22"
"Cocktail-sort","45000","234","353","22"
"Shell-sort","25000","99","140","23"
"Merge-sort","63000","38","212","23"
"Cocktail-sort","41000","214","325","23"
"Shell-sort","24000","107","150","24"
"Merge-sort","70000","38","224","24"
"Cocktail-sort","41000","203","302","24"
"Shell-sort","25000","115","160","25"
"Merge-sort","73000","40","236","25"
"Cocktail-sort","51000","280","382","25"
"Shell-sort","23000","107","154","26"
"Merge-sort","17000","40","248","26"
"Cocktail-sort","105000","225","295","26"
"Shell-sort","28000","134","183","27"
"Merge-sort","26000","48","260","27"
"Cocktail-sort","55000","304","396","27"
"Shell-sort","30000","154","205","28"
"Merge-sort","15000","52","272","28"
"Cocktail-sort","58000","294","414","28"
"Shell-sort","26000","137","190","29"
"Merge-sort","25000","52","284","29"
"Cocktail-sort","61000","348","522","29"
"Shell-sort","26000","136","191","30"
"Merge-sort","16000","52","296","30"
"Cocktail-sort","59000","352","466","30"
"Shell-sort","30000","146","203","31"
"Merge-sort","16000","53","308","31"
"Cocktail-sort","115000","382","494","31"
"Shell-sort","29000","152","211","32"
"Merge-sort","25000","58","320","32"
"Cocktail-sort","54000","312","456","32"
"Shell-sort","30000","168","229","33"
"Merge-sort","17000","59","334","33"
"Cocktail-sort","71000","432","615","33"
"Shell-sort","32000","198","261","34"
"Merge-sort","18000","61","348","34"
"Cocktail-sort","85000","493","703","34"
"Shell-sort","35000","223","288","35"
"Merge-sort","26000","63","362","35"
"Cocktail-sort","84000","484","814","35"
"Shell-sort","34000","207","274","36"
"Merge-sort","20000","67","376","36"
"Cocktail-sort","82000","467","712","36"
"Shell-sort","40000","219","312","37"
"Merge-sort","22000","70","390","37"
"Cocktail-sort","83000","522","721","37"
"Shell-sort","38000","230","326","38"
"Merge-sort","27000","77","404","38"
"Cocktail-sort","99000","594","836","38"
"Shell-sort","41000","253","352","39"
"Merge-sort","27000","78","418","39"
"Cocktail-sort","112000","662","1049","39"
"Shell-sort","39000","242","344","40"
"Merge-sort","20000","75","432","40"
"Cocktail-sort","118000","728","1116","40"
"Shell-sort","35000","196","301","41"
"Merge-sort","20000","86","446","41"
"Cocktail-sort","98000","620","859","41"
"Shell-sort","93000","217","325","42"
"Merge-sort","53000","87","460","42"
"Cocktail-sort","123000","682","964","42"
"Shell-sort","43000","250","361","43"
"Merge-sort","38000","93","474","43"
"Cocktail-sort","127000","780","1210","43"
"Shell-sort","41000","242","356","44"
"Merge-sort","35000","102","488","44"
"Cocktail-sort","140000","823","1486","44"
"Shell-sort","45000","267","384","45"
"Merge-sort","22000","94","502","45"
"Cocktail-sort","143000","850","1412","45"
"Shell-sort","42000","260","380","46"
"Merge-sort","23000","91","516","46"
"Cocktail-sort","147000","877","1460","46"
"Shell-sort","46000","287","410","47"
"Merge-sort","30000","101","530","47"
"Cocktail-sort","148000","924","1326","47"
"Shell-sort","46000","304","430","48"
"Merge-sort","30000","92","544","48"
"Cocktail-sort","293000","864","1140","48"
"Shell-sort","52000","286","415","49"
"Merge-sort","41000","105","558","49"
"Cocktail-sort","151000","936","1453","49"
"Shell-sort","51000","329","461","50"
"Merge-sort","31000","111","572","50"
"Cocktail-sort","178000","1105","1796","50"
"Shell-sort","48000","308","443","51"
"Merge-sort","32000","110","586","51"
"Cocktail-sort","144000","936","1274","51"
"Shell-sort","50000","317","455","52"
"Merge-sort","32000","111","600","52"
"Cocktail-sort","175000","1110","1751","52"
"Shell-sort","50000","327","468","53"
"Merge-sort","24000","118","614","53"
"Cocktail-sort","181000","1092","1769","53"
"Shell-sort","55000","372","516","54"
"Merge-sort","24000","122","628","54"
"Cocktail-sort","279000","1237","1962","54"
"Shell-sort","62000","354","501","55"
"Merge-sort","35000","121","642","55"
"Cocktail-sort","263000","1292","1956","55"
"Shell-sort","59000","390","540","56"
"Merge-sort","34000","124","656","56"
"Cocktail-sort","192000","1176","1926","56"
"Shell-sort","58000","380","533","57"
"Merge-sort","34000","133","670","57"
"Cocktail-sort","186000","1204","1755","57"
"Shell-sort","61000","392","548","58"
"Merge-sort","93000","126","684","58"
"Cocktail-sort","337000","1344","2094","58"
"Shell-sort","102000","393","552","59"
"Merge-sort","59000","123","698","59"
"Cocktail-sort","328000","1498","2270","59"
"Shell-sort","89000","372","534","60"
"Merge-sort","58000","142","712","60"
"Cocktail-sort","309000","1350","2077","60"
"Shell-sort","91000","368","533","61"
"Merge-sort","72000","144","726","61"
"Cocktail-sort","357000","1348","2144","61"
"Shell-sort","93000","378","546","62"
"Merge-sort","61000","149","740","62"
"Cocktail-sort","302000","1274","1779","62"
"Shell-sort","127000","442","613","63"
"Merge-sort","59000","152","754","63"
"Cocktail-sort","640000","1646","2549","63"
"Shell-sort","95000","435","609","64"
"Merge-sort","63000","158","768","64"
"Cocktail-sort","402000","1710","2838","64"
"Shell-sort","87000","370","547","65"
"Merge-sort","63000","148","784","65"
"Cocktail-sort","364000","1534","2656","65"
"Shell-sort","89000","410","590","66"
"Merge-sort","58000","154","800","66"
"Cocktail-sort","425000","1786","2923","66"
"Shell-sort","83000","408","591","67"
"Merge-sort","59000","160","816","67"
"Cocktail-sort","414000","1906","2929","67"
"Shell-sort","101000","491","677","68"
"Merge-sort","58000","166","832","68"
"Cocktail-sort","442000","1734","2855","68"
"Shell-sort","100000","499","688","69"
"Merge-sort","67000","166","848","69"
"Cocktail-sort","393000","1768","2728","69"
"Shell-sort","105000","494","686","70"
"Merge-sort","64000","167","864","70"
"Cocktail-sort","450000","1938","3060","70"
"Shell-sort","135000","527","722","71"
"Merge-sort","65000","171","880","71"
"Cocktail-sort","494000","2100","3513","71"
"Shell-sort","111000","530","728","72"
"Merge-sort","64000","173","896","72"
"Cocktail-sort","462000","2047","3128","72"
"Shell-sort","98000","494","695","73"
"Merge-sort","62000","178","912","73"
"Cocktail-sort","480000","2016","3054","73"
"Shell-sort","113000","543","747","74"
"Merge-sort","79000","179","928","74"
"Cocktail-sort","519000","2226","3512","74"
"Shell-sort","99000","497","704","75"
"Merge-sort","66000","176","944","75"
"Cocktail-sort","517000","2268","3446","75"
"Shell-sort","122000","595","805","76"
"Merge-sort","67000","183","960","76"
"Cocktail-sort","480000","2166","3309","76"
"Shell-sort","110000","526","739","77"
"Merge-sort","64000","171","976","77"
"Cocktail-sort","765000","2124","3249","77"
"Shell-sort","208000","608","824","78"
"Merge-sort","80000","187","992","78"
"Cocktail-sort","640000","2464","3672","78"
"Shell-sort","117000","554","773","79"
"Merge-sort","72000","199","1008","79"
"Cocktail-sort","472000","2320","3937","79"
"Shell-sort","114000","587","809","80"
"Merge-sort","67000","192","1024","80"
"Cocktail-sort","585000","2552","4007","80"
